wins,losses,points,points_opp,total_yards,plays_offense,yds_per_play_offense,turnovers,fumbles_lost,first_down,pass_cmp,pass_att,win_superbowl
7,9,281,359,4795,967,5.0,19,4,280,311,509,0
5,11,369,412,5697,984,5.8,19,7,297,382,583,0
12,4,421,283,5502,1013,5.4,24,10,331,344,512,0
8,7,360,341,5529,1003,5.5,20,10,310,425,606,0
4,12,342,435,5769,1003,5.8,32,12,344,331,532,0
3,13,225,425,3865,902,4.3,28,10,239,283,495,0
12,4,420,225,5664,1095,5.2,15,6,338,378,620,1
10,6,314,259,5283,1018,5.2,19,7,314,299,513,0
7,9,276,359,4368,956,4.6,25,9,253,323,521,0
5,11,306,494,4960,1022,4.9,26,8,315,371,615,0
14,2,531,282,6521,1064,6.1,15,7,386,289,440,0
8,8,289,303,4428,937,4.7,30,11,265,315,510,0
6,10,335,393,5455,973,5.6,28,7,305,318,539,0
2,14,279,420,5169,1049,4.9,30,14,312,356,616,0
10,6,378,385,5792,1017,5.7,22,8,346,355,534,0
9,7,402,331,5805,949,6.1,17,9,317,297,448,0
7,9,361,373,5238,1016,5.2,21,11,340,307,513,0
6,10,300,397,5468,1020,5.4,20,12,298,364,589,0
12,4,451,308,6067,976,6.2,15,10,350,378,576,0
7,9,282,316,4777,954,5.0,16,6,279,312,504,0
7,9,313,419,5819,989,5.9,17,9,315,367,523,0
5,11,337,345,5879,997,5.9,31,11,349,394,597,0
13,3,479,310,6097,1012,6.0,23,10,336,331,478,0
11,5,405,398,5991,1046,5.7,20,14,341,341,517,0
9,7,394,364,5998,1055,5.7,24,7,342,397,632,0
5,10,361,442,5467,1000,5.5,18,6,314,355,554,0
13,3,501,375,6343,1034,6.1,22,11,397,410,596,0
10,6,404,338,5424,1021,5.3,20,7,345,370,559,0
7,9,326,353,5236,979,5.3,19,5,332,283,440,0
2,14,243,457,4479,948,4.7,19,5,269,292,499,0
12,4,416,312,5354,1043,5.1,18,7,322,428,656,0
11,5,468,303,5810,993,5.9,18,7,327,257,406,0
11,5,408,419,5913,1022,5.8,16,8,355,315,501,0
4,11,311,424,5116,1040,4.9,24,13,318,372,581,0
11,5,491,439,6343,1031,6.2,12,5,381,316,485,0
11,5,451,362,6049,1032,5.9,15,4,364,371,552,0
4,12,384,464,6004,940,6.4,18,11,326,383,546,0
1,15,306,492,5218,997,5.2,25,9,310,387,616,0
9,7,343,398,5361,1113,4.8,20,9,323,425,664,0
8,9,349,371,5791,1054,5.5,22,8,342,320,520,0
8,9,387,392,6440,1185,5.4,26,8,394,396,611,0
12,5,419,354,5822,1133,5.1,25,11,362,359,535,0
9,8,451,365,5901,1052,5.6,19,11,354,324,521,0
4,13,280,452,4727,1010,4.7,22,7,266,354,546,0
3,14,253,457,5191,1028,5.0,29,12,304,361,604,0
12,5,480,364,6746,1134,5.9,25,12,419,448,675,0
10,7,374,439,6184,1082,5.7,24,10,349,429,628,0
9,8,474,459,6634,1128,5.9,22,7,401,443,674,0
7,10,335,322,5618,1036,5.4,18,9,331,354,541,0
12,5,530,358,6919,1153,6.0,20,9,390,444,647,0
9,8,444,385,6119,1075,5.7,16,6,352,307,494,0
7,10,335,434,5502,1070,5.1,24,9,345,356,550,0
4,13,258,416,4884,1050,4.7,30,10,299,351,593,0
13,4,450,371,6215,1072,5.8,13,6,375,402,593,0
8,9,425,426,6168,1083,5.7,13,6,332,398,604,0
4,12,289,427,5298,1103,4.8,34,14,310,398,604,0
3,13,289,420,4820,1015,4.7,28,9,277,352,579,0
14,3,496,369,7032,1094,6.4,23,11,408,435,651,0
10,7,391,384,6108,1154,5.3,19,9,352,485,711,0
6,11,395,418,5993,1049,5.7,21,4,343,359,586,0
5,12,287,359,5527,1078,5.1,24,9,300,345,571,0
14,3,477,344,6614,1124,5.9,19,10,385,350,536,0
12,5,467,342,6034,1114,5.4,23,5,347,355,556,0
9,7,365,371,5676,1089,5.2,16,10,352,346,520,0
8,8,321,343,5615,1140,4.9,23,7,339,344,554,0
13,4,424,427,6145,1123,5.5,23,8,382,448,672,0
14,2,473,362,6653,1057,6.3,16,9,397,420,630,1
9,8,453,427,6460,1092,5.9,15,8,376,383,588,0
7,10,365,386,5417,1011,5.4,21,12,330,257,415,0
13,4,450,277,6216,1047,5.9,17,8,347,338,512,0
9,8,407,401,5976,1044,5.7,23,11,346,399,573,0
5,12,307,384,4769,1001,4.8,23,8,293,347,531,1
4,13,340,449,5499,1144,4.8,25,8,326,433,664,0
11,6,451,311,6366,1115,5.7,28,10,381,385,579,0
11,6,496,391,6822,1053,6.5,25,10,360,393,566,0
5,12,346,398,5599,1106,5.1,21,13,319,409,632,0
12,5,509,315,6317,1122,5.6,16,6,385,428,614,0
11,6,433,428,6024,1112,5.4,28,12,377,369,563,0
12,5,491,298,6773,1024,6.6,18,6,383,336,491,0
10,7,404,377,6108,1094,5.6,18,5,351,361,583,0
9,8,364,402,5490,995,5.5,17,5,317,371,575,0
4,13,330,455,5509,1068,5.2,18,6,330,355,555,0
